23	53	R	B	U
23	53	R	D	D
23	53	R	F	U
23	53	R	U	D
23	53	U	B	U
23	53	U	F	U
23	53	U	L	U
23	53	U	R	U
101	5	B	D	D
101	5	B	L	D
101	5	B	R	D
101	5	B	U	D
101	5	D	B	U
101	5	D	F	U
101	5	D	L	U
101	5	D	R	U
101	5	F	D	D
101	5	F	L	D
101	5	F	R	D
101	5	F	U	D
101	5	L	B	U
101	5	L	D	D
101	5	L	F	U
101	5	L	U	D
101	5	R	B	U
101	5	R	D	D
101	5	R	F	U
101	5	R	U	D
101	5	U	B	U
101	5	U	F	U
101	5	U	L	U
101	5	U	R	U
102	10	B	D	U
102	10	B	L	U
102	10	B	R	U
102	10	B	U	U
102	10	D	B	D
102	10	D	F	D
102	10	D	L	D
102	10	D	R	D
102	10	F	D	U
102	10	F	L	U
102	10	F	R	U
102	10	F	U	U
102	10	L	B	D
102	10	L	D	U
102	10	L	F	D
102	10	L	U	U
102	10	R	B	D
102	10	R	D	U
102	10	R	F	D
102	10	R	U	U
102	10	U	B	D
102	10	U	F	D
102	10	U	L	D
102	10	U	R	D
103	15	B	D	U
103	15	B	L	U
103	15	B	R	U
103	15	B	U	U
103	15	D	B	D
103	15	D	F	D
103	15	D	L	D
103	15	D	R	D
103	15	F	D	U
103	15	F	L	U
103	15	F	R	U
103	15	F	U	U
103	15	L	B	D
103	15	L	D	U
103	15	L	F	D
103	15	L	U	U
103	15	R	B	D
103	15	R	D	U
103	15	R	F	D
103	15	R	U	U
103	15	U	B	D
103	15	U	F	D
103	15	U	L	D
103	15	U	R	D
105	134	B	D	U
105	134	B	L	U
105	134	B	R	U
105	134	B	U	U
105	134	D	B	D
105	134	D	F	D
105	134	D	L	D
105	134	D	R	D
105	134	F	D	U
105	134	F	L	U
105	134	F	R	U
105	134	F	U	U
105	134	L	B	D
105	134	L	D	U
105	134	L	F	D
105	134	L	U	U
105	134	R	B	D
105	134	R	D	U
105	134	R	F	D
105	134	R	U	U
105	134	U	B	D
105	134	U	F	D
105	134	U	L	D
105	134	U	R	D
109	55	B	D	D
109	55	B	L	D
109	55	B	R	D
109	55	B	U	D
109	55	D	B	U
109	55	D	F	U
109	55	D	L	U
109	55	D	R	U
109	55	F	D	D
109	55	F	L	D
109	55	F	R	D
109	55	F	U	D
109	55	L	B	U
109	55	L	D	D
109	55	L	F	U
109	55	L	U	D
109	55	R	B	U
109	55	R	D	D
109	55	R	F	U
109	55	R	U	D
109	55	U	B	U
109	55	U	F	U
109	55	U	L	U
